835-1-813-28652-9,2,14/6/2013,21/6/2013,20/6/2013
690-4-401-79381-3,5,11/7/2013,18/7/2013,15/7/2013
162-5-915-28790-2,5,17/7/2013,24/7/2013,24/7/2013
711-8-420-85038-7,5,13/8/2013,20/8/2013,15/8/2013
068-7-864-57135-7,2,6/9/2013,13/9/2013,8/9/2013
615-4-425-97735-4,5,4/10/2013,11/10/2013,11/10/2013
293-6-520-09332-6,5,9/10/2013,16/10/2013,15/10/2013
293-6-520-09332-6,5,10/10/2013,17/10/2013,13/10/2013
162-5-915-28790-2,4,14/10/2013,21/10/2013,15/10/2013
293-6-520-09332-6,4,15/10/2013,22/10/2013,21/10/2013
260-7-897-02651-4,4,16/10/2013,23/10/2013,19/10/2013
293-6-520-09332-6,2,18/10/2013,25/10/2013,25/10/2013
835-1-813-28652-9,1,18/10/2013,25/10/2013,24/10/2013
068-7-864-57135-7,1,4/12/2013,28/12/2013,Not returned
615-4-425-97735-4,4,5/12/2013,30/12/2013,Not returned
690-4-401-79381-3,2,9/12/2013,16/12/2013,Not returned
395-3-604-21205-3,2,23/12/2013,12/10/1990,Not returned
638-4-247-76605-9,2,23/12/2013,10/10/1990,23/12/2013
821-0-138-46922-6,2,23/12/2013,20/1/2000,23/12/2013
